no,judul
3,pengolahan data kepegawaian badan perencanaan pembanguan daerah bappeda kab dati ii bantul yogyakarta
3,pemanfaatan lahan tidur sebagai upaya peningkatan produksi palawija suatu penelitian di desa poncosari kecamatan srandakan kabupaten bantul propinsi daerah istimewa yogyakarta
3,hubungan sosio demografi dan psikologi dengan anemia pada ibu hamil pengunjung puskesmas pundong kabupaten bantul propinsi daerah istimewa yogyakarta
3,praktik kerja lapangan di badan perencanaan pembangunan daerah kabupaten bantul
3,pola pola kehidupan nilai nilai pembanguan yang melekat pada diri santri pondok pesantren al munawwir yogyakarta
3,kinerja produksi ternak kambing lokal di kabupaten bantul
3,kinerja produksi domba lokal di kabupaten bantul
3,peranan lembaga ketahanan masyarakat desa lkmd dalam pelaksanaan pembangunan fisik desa di desa srigading sanden bantul
3,pengaruh pemberian madervit pada ibu hamil tri semester iii terhadap kejadian anemia di puskesmas kasihan ii bantul tahun
3,aktivitas dakwah islamiyah pembina pengamalan agama pa kec plered
3,pengaruh perkawinan usia muda terhadap terciptanya keluarga sejahtera di panggungharjo sewon
3,pengaruh desentralisasi dan motivasi terhadap hubungan antara partisipasi anggaran dan kinerja manajerial pada organisasi sektor publik
3,pembinaan agama islam terhadap manusia usia lanjut di panti asuhan tresna werdha budi luhur kasongan
3,pengaruh pemberian pekerjaan rumah yang dibahas dan dinilai terhadap prestasi belajar
3,program pengembangan sumberdaya santri di pp hidayatul mahtadien tajeman bantul
3,pengaruh kemampuan menggambar prespektif terhadap kemampuan menggambar bentuk
3,pola penggunaan obat pada ibu hamil di rsud bantul
3,aktifitas anggota peternak sapi pada kelompok ternak sapi potong
3,kyai haji ahmad marzuqi
3,evaluasi kontribusi pendapatan asli daerah pad di sektor pajak dan
3,kedisiplinan santri putri komplek dalam melaksanakan aktifitas keagamaan di pondok pesantren al munawwir krapyak yogyakarta
3,hubungan antara tanggapan terhadap otoritas peraturan dengan perilaku disiplin santri nurussalam krapyak yogyakarta
3,upaya pengembangan pondok pesantren ali maksum krapyak yogyakarta study pondok pesantren sebagai lembaga pendidikan kader dai
3,pendidikan akhlak di pondok pesantren fadlun minalloh desa wonokromo kecamatan pleret kabupaten bantul yogyakarta
3,departemen pendidikan dan kebudayaan universitas gajah mada fakultas teknik nuklir
3,nyai dalam kepemimpinan pondok pesantren studi kepemimpinan di pondok pesantren putri yayasan ali maksum krapyak yogyakarta
3,hubungan sikap mandiri dan penghasilan orang tua dengan minat berwirasta siswa kelas cawu iii smk bina wiyata srandakan bantul tahun pelajaran
3,peranan motivasi kerja terhadap peningkatan produktivitas kerja karyawan pada kud tani harjo pandak bantul
3,site selection analisis faktor faktor yangmempengaruhi penentuan lokasi stasiun pengisian bahan bakar umum spbu studi pada bagian wilayah perkotaan daerah istimewa yogyakarta
3,kedudukan dan peranan inspektorat wilayah kabuapen daerah tingkat ii bantul dalam pengawasan penyelenggaraan pemerintah di daerah
3,kesalahan konsepsi pada materi gerak dan gaya siswa kelas smu negeri se kecamatan banguntapan kabupaten bantul tahun ajaran
3,identifikasi kesalahan dalam menyelesaikan soal soal operasi aljabar pada siswa kelas cawu program studi akuntansi smk bantul tahun pelajaran
3,tinjauan hukum islam terhadap pelaksanaan asuransi wisatawan untuk obyek obyek wisata di diy
3,peternakan sapi secara berkelompok dalam meningkatkan pendapatan keluarga di desa wirikerten kec banguntapan
3,pendayagunaan koleksi hasil hasil penelitian pertanian dalam pemenuhan kebutuhan informasi pengguna
3,kontyribusi dakwah bil hal bprs bangun drajat warga terhadap perekonomian umat islam nasabah di kec banguntapan
3,perlindungan hukum bagi pemegang hak cipa seni tari di yogyakarta
3,kesadaran beragama pada remaja desa bangunjiwa
3,aktivitas dakwah pimpinan daerah pemuda muhammadiyah kabupaten bantul
3,mujahadah attaqwa sebagai sarana dakwah di dusun wonokromo
3,potensi hutan rakyat dalam meningkatkan pendapatan masyarakat di sekitar hutan
3,peran kelompok tani tri lestari dalammeningkatkan pengetahuan dan ketrampilan petani di desa panjangrejo kec pundong kab bantul
3,aktivitas ekonomi wanita usia lanjut studi kasus di dusun piring ii desa murtigading sanden bantul yogyakarta
3,penerapan hukum dalam pendidikan islam di lingkungan keluarga muslim
3,analisa pendapatan dan faktor yang mempengaruhi pendapatan pengrajin batu bata
3,analaisa perbandingan pendapatan usaha tani padi dan usaha tani kedelai
3,analisis motivasi konsumen dalam pembelian produk televisi di salakan bantul yogyakarta
3,kegiatan keagamaan rumah sakit khusus bedah patmasuri yogyakarta
3,studi penguasaan pengguynaan dan pengelolaan tanah kas desa di kecamatan sewon kabupaten bantul
3,partisipasi masyarakat dalam pemenuhan kebutuhan air irigasi bendungan merdiko di kabupaten bantul
3,keterlambatan pengembalikan berkas rekam medis pasien rawat inap dan faktor yang berpengaruh pada bangsal penyakit dalam cempaka dan bougenville bulan februari sampai dengan april di rsd
3,aktivitas dakwah islamiyah di pgps madukismo kecamatan kasihan kabupaten bantultinjauan manajemen
3,studi komparatif prestasi belajar bidang studi pendidikan ipa semester ii guru sd penyetaraan ii antara peserta siaran radio pendidikan dengan bukan pesertasiaran radio pendidikan
3,peran lembaga musyawarah desa lmd sebagai mitra kerja pemerintah desa dalam pembangunan desa di desa gadingsari kecamatan sanden kabupaten daerah istimewa yogyakarta
3,aktivitas dakwah asatiz pp al fitrah jejeran di desa wonokromo kecamatan pleret kabupaten bantul yogyakarta
3,peranan pemerintah daerah kabupaten bantul dalam membina keterampilan nelayan
3,hubungan antara pengetahuan gizi ibu dan tingkat pendapatan keluarga dengan pemberian suplemen vitamin pada anak sekolah di perumahan mojosari indah baturetno banguntapan bantul
3,metode penyampaian materi pengajian di panti asuhan yatim piatu mabarrot desa srimartani kecamatan piyungan bantul
3,hubungan antara perhatian orang tua terhadap cara belajar anak dengan prestasi belajar bidang studi matematika siswa kelas ii smu bantul ajaran ll
3,pengaruh pemanfaatan lahan pertanian sawah pekarangan terhadap penyerapan tenaga kerja di desa sumbermulyo kecamatan bambanglipuroo kabupaten bantul
3,hubungan antara kemampuan verbal dan penguasaan operasi hitung bilangan pecahan dengan prestasi belajar matematika siswa kelas cawu sltp negeri se kecamatan srandakan tahun ajaran
3,hubungan antara jarak kelahiran dua anal balita dari seorang ibu dengan status gizi anak di bangunharjo sewon bantul
3,peranan koperasi unit desa tani mulyo dalam meningkatkan pendapatan masyarakat di desa sumbermulyo kecamatan bambanglipuro kabupaten bantul propinsi daerah istimewa yogyakarta
3,pengobatan sendiri di kalangan santri di pondok pesantren krapyak yogyakarta
3,kerajinan batik tulis di desa wukirsari kec imogiri kba bantul
3,korelasi antara pemenuhan kebutuhan belajar oleh orang tua dan motifasi berprestasi siswa dengan prestasi belajar siswa kelas cawu ii smu negeri pajangan bantul yogyakarta tahun pelajaran
3,peran kader bina keluargqa balita dalam upaya meningkatkan kesehatan balita dan keluarga desa trimulyo kecamatan jetis kabupaten bantul propinsi daerah istimewa yogyakarta
3,upayaupaya kud dalam meningkatkan kesejahteraan keluarga suatu penelitian di kud tani binangun kecamatan banguntapan kabupaten bantul propinsi daerah istimewa yogyakarta
3,peranan panti asuhan yatim piatu mabarrot dalam pembinaan mental agam terhadap anak asuh srimartani piyunmgan bantul yogyakarta
3,peranan sentuhan seni pada industri kecil keramik terhadap peningkatan pendapatan pekerja
3,peranan dai dalam pembangunan mental masyarakat desa di kec pundong kab bantul
3,hubungan intensitas komunikasi interpersonal orang tua dengan perilaku keagamaan remaja di desa wonokromo kecamatan pleret kabupaten bantul
3,metode bimbingan keagamaan kh nawawi dalam memberikan bantuan pemecahan masalah santri pondok pesantren annur ngrukem sewon bantul
3,korelasi antara rasa tanggung jawab pribadi siswa dan sikap siswa terhadap pelajaran matematika dengan prestasi belajar matematika pada siswa kelas sltpn sekecamatan kretek kabupaten bantul
3,korelasi antara frekuensi mengikuti ceramah agama islam dengan pemahaman dan pengamalan keagamaan jamaah masjid al qodar komplek tni au lanud adi sutjipto yogyakarta
3,studi tentang pesan pesan dakwah buletin jumat alikhtilaf
3,aktivitas dakwah jamaah dzikrul ghofilin bantul
3,analisis motif dan warna batik nitik yogyakarta
3,peranan anak dalam ekonomi rumah tangga penelitian di desa sumbermulyo kecamatan bambanglipuro kabupaten bantul diy
3,usaha kesadaran wanita terhadap kesehatan lingkugan di desa potorono kecamatan banguntapan kabupaten bantul yogyakarta
3,aspek hukum peran serta masyarakat dalam perencanaan dan pelaksanaan tata ruang wilayah di kabupaten bantul daerah istimewa yogyakarta
3,pengembangan industri rumah tangga bakmi dalam meningkatkan pendapatan keluarga di desa srihardono kecamatan pundong kabupaten bantul daerah istimewa yogyakarta
3,usaha mina padi dalam meningkatkan pendapatan masyarakat di desa banguntapan
3,pengaruh biaya distribusi dalam usaha meningkatkan volume penjualan pada perusahaan kayu jati agung di bantul yogyakarta
3,pembinaan keagamaan di pondok pesantrenanakanak baiquniyyah desa wonokromo kecamatan pleret kabupaten bantul
3,hubungan antara pengetahuan keamanan pangan dengan skor keamanan pangan makanan jajanan street food di obyek wisata pantai parang tritis yogyakarta
3,ktifitas lembaga panti asuhan jaamasba dalam usaha meningkatkan kemandirian anak anak yatim suatu penelitian di kalurahan bantul kecamatan bantul kabupaten bantul propinsi diy
3,faktor faktor yang mempenngaruhi keaktifan dai dalam berdakwah di kecamatan srandakan kabupaten bantul
3,instalasi pengolahan air limbah rumah tangga untuk wilayah perkotaan yogyakarta
3,analisis pendapatan industri rumah tangga minyak kelapa di kelurahan ngestiharjo kecamatan kasihan
3,upaya meningkatkan potensi masyarakat melalui pendidikan ketrampilan membatik di desa girirejo kecamatan imogiri kab bantul diy
3,analisis pengelolaan aset properti riil pemerintah daerah
3,persepsi petani terhadap program transmigrasi
3,pembinaan mental agama oleh takmir masjid mirojulmuttaqinallah jejeran wonokromo pleret bantul terhadap masyarakat jejeran
3,kejadian tbc hubungannya dengan persyaratan luas ventilasi kelembaban dan suhu ruangan rumah di wilayah kerja puskesmas sanden bantul yogyakarta
3,analisis pendapatan pengrajin ukir kulit dan penyerapan tenaga kerja
8,mimpi masa silam
2,nasihatnasihat penyejuk kalbu
9,mengenal lebih dekat putu wijaya sang teroris mental dan pertanggungjawaban proses kreatifnya
8,rembulan tertutup awan
3,kiat jitu mengatasi problema keluarga
2,hadits palsu dalam kitab sunan
8,violetta flowers
8,liur emas
2,orang yang menyesal pada hari kiamat
2,bahaya sifat munafik
8,perpisahan yang indah
8,mimpi sauni
1,hadirkan cinta setiap saat
8,dua kisah
2,menyaksikan mukjizat rasulullah saw
8,setengah isi setengah kosong
8,cinta wanita berhati cahaya
1,be positive be happy
8,terjebak di vila biru
2,kisah teladan
8,sahabat yang datang dan pergi
2,kisahkisah di kebun mawar
2,kisah teladan
2,kisah teladan
2,kisah teladan
2,kisah teladan
2,kisah teladan
2,mata kuliah menjelang pernikahan
2,kisah teladan
8,kacamata sidik
8,sebiji pisang dalam perut jenazah
2,menjadi pribadi simpatik indahnya hidup dengan akhlak mulia
8,badai laut biru
8,teror di bawah hujan
2,orangorang pelit yang dicintai tuhan
2,kisah teladan
0,mengolah dan membuat interpretasi hasil olahan spss untuk penelitian ilmiah
6,khasiat manfaat buah merah si emas merah dari papua
6,petunjuk praktis beternak ikan sistem tambak
2,risalah puasa ramadhan hukumhukum puasa dan hikmahnya
2,ujian cinta kepada allah
7,foto jurnalistik metode memotret dan mengirim foto ke media massa
6,ibu bertanya dokter anak menjawab
8,topeng sebuah cerita panjang
8,humor orangorang cerdik bijak
3,rahasia wanita dari sampai
1,teoriteori konseling
2,wahai keluargaku jadilah mutiara yang indah
1,beranda bahagia menghimpun energi kata cinta
6,mengawetkan ikan
2,cahaya kemuliaan di wajah mereka
4,bahasa arab buku kedua
1,bimbingan konseling untuk perilaku non adaptif
3,pengangkutan kargo udara tanggungjawab pengangkut dalam
0,ilmu sebagai lentera kehidupan
6,budi daya udang windu secara intensif
6,sehat dan bugar secara alami
6,pengetahuan praktis televisi
6,jus buah dan sayuran
2,kembali kepada allah
3,cara cepat menyelesaikan perkalian
1,kiat jitu dalam mendidik anak
2,etika islam dalam menuntut ilmu
0,merangkai prestasi dalam tantangan
3,komunikasi populer kajian komunikasi dan budaya kontemporer
6,the celestial management
3,mitos kecantikan
8,orangorang tercinta
8,tamu asing di rumah nenek
8,cinta di marindo oil
8,pengantar sastra rakyat minangkabau
2,menjadi pribadi unggul dengan kekuatan iman
6,petunjuk praktis pembudidayaan ikan mas dalam keramba jaring apung
2,seni mendidik anak
2,hendak kemana islam indonesia
2,hendak kemana islam indonesia
2,hikmah dari langit refleksi kebijaksanaan seharihari
2,melihat kebaikan dalam segala hal
0,sepekan di bumi katulistiwa
2,dengan menit menggapai surga
6,menyemai cabai merah di lahan pasir
6,kebiasaan hidup bersih untuk menjaga kesehatan tubuh
8,firdaus pelopor budi daya ikan air tawar
2,psikologi belajar agama perspektif pendidikan agama islam
3,ketika hujan turun
3,halo kelinci kecil
3,halo jira jerapah
3,halo upi tupai
3,halo horsa kuda
2,ham dalam perspektif islam
2,pencerahan spiritual sukses membangun hidup damai dan bahagia
6,agribisnis peternakan
2,bungabunga di taman sejarah
8,srikandi cool
6,budi daya belut dan sidat
8,romantika cinta yusuf zulaikha
6,budi daya koi
2,menjadi keluarga ahli surga
8,bersahabat dengan matematika
6,budi daya lobster air tawar
3,program pembelajaran individual berbasis gerak irama
3,aneka kreasi balon untuk wirausaha
6,hidup sehat tahun
1,psikologi terapan
7,bermain sambil belajar
6,fisiologi nutrisi
3,tangkas sains untuk siswa sekolah dasar
7,mendesain rumah tropis
6,budi daya dan peluang bisnis jahe
8,rere
6,buah dan sayur untuk terapi
6,menetaskan telur walet dengan induk walet induk seriti induk seriti kembang mesin tetas
6,basmi penyakit dengan sirih merah
6,keji beling mencegah dan menggempur batu ginjal
2,kejeniusan utsman bin affan
1,psikologi remaja
6,budi daya ikan lele
1,daya nalar budi
6,budi daya walet pengalaman langsung para pakar dan praktisi
2,membentuk manusia berkualitas
2,pengantar ilmu hadits
6,binatang pantai dan laut
6,kentang varietas dan pembudidayaan
6,pertolongan pertama pada sepeda motor
6,budi daya walet pengalaman langsung para pakar dan praktisi
3,tangkas sains untuk siswa sekolah dasar
6,budi daya udang windu
6,agribisnis cabai hibrida
1,jiwa yang rentan
2,ensiklopedia kematian dan alam kubur
8,cinta sejati laila majnun
6,khasiat dan manfaat lidah buaya si tanaman ajaib
5,pintar matematika untuk sekolah dasar
3,cerdas finansial sekarang
6,budi daya dan bisnis sarang walet
6,bawang putih untuk kesehatan
2,mempermudah pernikahan suatu keharusan
1,agar selalu disayang isteri
2,dari hati ke hati pesona dakwah islam
2,kekhususan rasulullah saw
6,beternak kelinci idaman
1,yang disukai pria dari wanita
8,bunga putih di sungai kuning
9,muhammad kisah hidup nabi berdasarkan sumber klasik
2,malam pertama di alam kubur
8,kau gila maka kucinta
2,aa gym apa adanya sebuah qolbugrafi
2,kisahkisah di taman bunga
2,transaksi dan etika bisnis islam
9,dr cipto mangunkusumo
6,strategi dan pemikiran bisnis chan kim renee mauborgne
3,terorisme ritual setan
5,matematika tangkas berhitung
2,perintah allah kepada orangorang beriman
2,syariat dan pengembaraan ruhani
1,esok lebih baik kiat sukses hidup anda
8,si yodi ahli garam beriodium
8,jam belantara bukit barisan
3,kekejian perilaku kaum nabi luth
6,diet sehat dengan makanan berserat
1,cinta antara khayalan realita
2,kafirkah orang yang berhukum dengan selain hukum allah
1,persepsi orang tua membentuk perilaku anak dampak pygmalion didalam keluarga
6,kiat jitu meningkatkan pemberdayaan organisasi
3,bea meterai di indonesia
6,budi daya bawal air tawar untuk konsumsi dan hias
6,ikan hias air laut
2,menuai taman surga
1,purapura sakit untuk mencari simpati sindroma munchausen sebuah kajian psikologis
3,masa depan pendidikan nasional
3,dollar vs euro awal kebangkrutan as
2,mengapa anak suka berdusta
6,atlas tumbuhan obat indonesia
9,kak seto sahabat anakanak
3,penelitian tindakan kelas
6,aneka masakan sayuran
2,kontroversi pemikiran ibnu arabi
3,nana berpuasa
2,figur wanita sufi perjalanan hidul rabi ah al adawiyah dan cintanya kepada allah
6,tetap sehat dengan produk makanan olahan
6,khasiat manfaat daun sirih obat mujarab dari masa ke masa
8,kepak sayap sang garuda
3,program bimbingan dan konseling di sekolah sltp dan slta
3,kupas tuntas masalah sujud tilawah
7,jejak sang petualang
4,model tes toefle memuat soal toefle lengkap disertai dengan pembahasannya
6,kelinci hias
2,kedai sufi allah pun berdzikir
8,kaulah segalanya bukan pria lain
6,budi daya bawang
8,masih ada cinta di senja itu
8,perjalanan sunyi
8,bidadari datang kembali
1,filsafat ilmu dari hakikat menuju nilai
6,membuat aneka olahan mangga
7,kamar tidur sehat
8,agar menulis mengarang bisa gampang
6,aneka masakan tahu
6,seni membangkitkan inovasi dan kreativitas perusahaan
5,budi daya rumput laut
2,mawar duri dalam kehidupan rumah tangga
8,akhir sebuah mimpi end of dream
3,tangkas berbahasa indonesia kelas sekolah dasar
5,matematika tangkas berhitung
5,matematika tangkas berhitung
2,istriistri para nabi
5,matematika tangkas berhitung
2,reorientasi pendidikan islam
5,atom unsur listrik
2,kisah air zamzam dilengkapi hikmahhikmah ibadah haji
2,nikah dengan niat talak
6,mengatasi gangguan pada pencernaan dengan ramuan tradisional
2,reformasi hukum islam di indonesia
2,kisahkisah teladan
5,mencegah membasmi rayap secara ramah lingkungan kimiawi
6,bloon
5,cahaya energi dan gerak
3,pemburu dan harimau bodoh
3,ulang tahun ibu
9,sang merah putih sejarah dan tata cara pengibarannya
7,menyayangi rasulullah
7,menyayangi keluarga
3,tifa si pembual
5,kehidupan terumbu karang
6,jus buah dan sayuran untuk mengatasi kanker
2,riwayat nabi musa
2,riwayat nabi sulaiman
3,lebaran di rumah nenek
2,sunan bonang pendekar bersenjata tembang
3,landak yang sombong
2,sunan maulana malik ibrahim
3,kiko kunangkunang
2,riwayat nabi yusuf
3,halo ephan gajah
2,riwayat nabi nuh nabi hud dan nabi saleh
3,halo ruru kanguru
3,kisahkisah pilihan dalam keluarga
3,halo zizi zebra
2,bunga yang hilang
6,bikin gaul lebih indah
6,cincau
5,kehidupan hutan bakau
2,riwayat nabi adam
2,riwayat nabi muhammad
0,pesona terumbu karang gili terawangan
1,bekerjasama aktivitas untuk mendorong anak suka bekerjasama
3,ilmu sosial dan budaya dasar
3,tangkas pengetahuan sosial
2,psikologi dakwah
5,kehidupan tumbuhan laut
5,gajah si raksasa hutan
2,setan berjasa
5,buaya dan komodo reptil purba yang ganas
5,cahaya udara dan air
4,bahasa arab buku kesatu
2,riwayat nabi ayyub dan nabi yunus
2,riwayat nabi luth dan nabi syuaib
6,budi daya tanaman obat secara organik
6,ramuan penakluk hipertensi
5,ikan unik
5,arwana ikan jelmaan dewa
6,keajaiban buah merah kesaksian dari mereka yang tersembuhkan
6,narkoba nggak dong
6,kelapa sawit
5,bagaimana binatang makan
6,agar anggrek rajin berbunga
5,bagaimana binatang berkembang biak
7,berkreasi dengan kuningan dan tembaga
6,kanker pada wanita
3,kiat menggali kreativitas
6,aneka produk olahan kelapa
6,panduan perawatan anak
6,budi daya tanaman hias suplir
2,riwayat nabi muhammad
2,sisisisi keagungan wanita
5,kelelawar sang pemburu malam
3,membangun profesionalitas guru
5,kupukupu serangga yang indah
2,etika bisnis dalam islam
3,format baru pengelolaan pendidikan
5,reptilia
2,agama dalam kehidupan manusia pengantar antropologi agama
5,kucing harimau kecil yang jinak
2,dari cermin keesaan allah
2,indahnya ramadhan rasulullah saw
3,gadis selendang sutra
2,akuntansi zakat
2,fenomena kalam ilahi bukti kemukjizatan al quran
5,binatang berbahaya
2,menuju labuhan akhirat
5,ular si binatang berbisa seri mengenal fauna
5,binatang malam
5,semut tim pekerja yang tangguh seri mengenal fauna
5,serangga
5,monyet binatang cerdik seri mengenal fauna
3,allah menciptakan manusia
5,binatang terancam bahaya
2,aku keledai betina
2,aku batu yang mulia
5,paus dan hiu
5,binatang aneh
3,tangkas sains untuk klas sd
3,di balik invasi ke irak
8,manis itu pahit
8,keindahan perempuan
8,ketika gelap menjadi terang
6,aneka masakan tempe
1,menumbuhkan kematangan berpikir
6,aneka resep dari buah
6,nutrisi ayam broiler
6,bersahabat dengan kolesterol
1,sukses jadi jutawan dari profesi pengelolaan banquet
5,flora dan fauna nusantara
5,harimau si loreng perkasa
5,hamster tikus imut yang lucu
6,budi daya tanaman obat komersial
2,tiga puluh tiga butir pesan religius buat kehidupan
2,mengenal keesaan tuhan kakbah kiblat umat islam
6,sembilan puluh enam resep tanaman obat untuk reumatik
2,keragaman iman studi komparatif masyarakat muslim
2,meretas jalan kebenaran di belantara pertentangan pemikiran dan mazhabmazhab
2,membantai ahlul ahwa dan bid ah
3,tangkas tematik kelas sd
3,tangkas matematik kelas sd
2,mengenal keesaan tuhan kakbah pemersatu umat islam
6,bertanam lobak
3,dino si dinosaurus kecil rubi dan robo
5,singa si raja rimba
5,lebah madu serangga setia kawan
6,agar ikan hias cemerlang
2,riwayat nabi muhammad
6,budidaya pakan alami untuk ikan
8,sastra yang malas
6,jenis dan budidaya cabai rawit
6,agar jahe berproduksi tinggi
6,memaksimalkan kinerja
8,basahi jiwaku sirami hatiku
2,ushul fiqh
2,kaum muda nu dalam lintas sejarah
9,bendera sejarah dan kegunaannya
5,berbagai cara binatang berkomunikasi
6,mengatasi gangguan konsentrasi
6,teknik pengukuran listrik elektronika
6,strategi mengelola departemen di perusahaan
2,cendikiawan muslim klasik
1,untuk remaja juga bisa bahagia sukses mandiri
0,kiat menjadi penulis buku profesional
2,yang mereka wasiatkan pesan para shalihin di ambang kematian
8,aku ini binatang jalang koleksi sajak
6,budidaya tanaman berkhasiat obat
6,kembali sehat dengan obat
2,tujuh golongan yang dinaungi allah
6,udang renik air asin
7,dimensi estetika pada karya arsitektur dan disain
